Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
74.5632773731014,--,--,--,--,Firing event 'Source1.EntityArrivals.Event'.
74.5632773731014,Source1,Source1,2.OnEntityArrival,[Begin],Process 'Source1.OnEntityArrival' started.
74.5632773731014,Source1,Source1,2.OnEntityArrival,[Create] EntitiesPerArrival,Creating '1' object(s) of entity type 'DefaultEntity' using creation method 'NewObject'.
74.5632773731014,--,--,--,--,Object 'DefaultEntity.444' created.
74.5632773731014,DefaultEntity.444,Source1,7.OnEntityArrival,[Transfer] ToOutputBuffer,Entity 'DefaultEntity.444' initiating transfer from '[FreeSpace] Source1' into station location 'Source1.OutputBuffer'.
74.5632773731014,Source1,Source1,2.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' ended.
74.5632773731014,DefaultEntity.444,Source1,41.OnEnteredOutputBuffer,[Begin],Process 'Source1.OnEnteredOutputBuffer' started.
74.5632773731014,DefaultEntity.444,Source1,41.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'DefaultEntity.444' ending transfer into station 'Source1.OutputBuffer'.
74.5632773731014,DefaultEntity.444,Source1,41.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'DefaultEntity.444' initiating transfer from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
74.5632773731014,DefaultEntity.444,Output@Source1,2.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Source1.OnEnteredFromAssociatedObject' started.
74.5632773731014,DefaultEntity.444,Output@Source1,2.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Source1.Entered'.
74.5632773731014,DefaultEntity.444,Output@Source1,2.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'DefaultEntity.444' waiting at '[Node] Output@Source1' to transfer onto link 'Conveyor1'.
74.5632773731014,DefaultEntity.444,Source1,7.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' ended.
74.5715258863034,DefaultEntity.423,Server4,19.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'DefaultEntity.423' initiating transfer from '[Station] Server4.Processing' into station location 'Server4.OutputBuffer'.
74.5715258863034,DefaultEntity.423,Server4,7.OnEnteredOutputBuffer,[Begin],Process 'Server4.OnEnteredOutputBuffer' started.
74.5715258863034,DefaultEntity.423,Server4,7.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'DefaultEntity.423' ending transfer into station 'Server4.OutputBuffer'.
74.5715258863034,DefaultEntity.423,Server4,7.OnEnteredOutputBuffer,[Release] Server,Releasing resource(s) owned by object 'DefaultEntity.423'.
